customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score
1538-SRVXA,16-12-2020,Paid,16-12-2021,Premium,Monthly,,,17.55,897,85
1539-KDEYZ,12-11-2022,Organic,12-11-2023,Premium,Monthly,,,20.59,867,99
1540-AWXBK,14-08-2022,Organic,14-08-2023,Premium,Monthly,,,19.34,1166,52
1541-MXDRJ,03-11-2020,Organic,03-11-2021,Standard,Annual,,,14.24,786,14
1542-THTMQ,26-01-2024,Organic,26-01-2025,Basic,Monthly,25-06-2024,Too expensive,6.52,670,93
1543-LFQPC,22-02-2024,Organic,22-02-2025,Premium,Annual,,,20.01,868,83
1544-CTDJL,12-12-2024,Paid,12-12-2025,Standard,Annual,,,15.87,408,62
1545-NSZED,10-07-2019,Organic,10-07-2020,Standard,Monthly,,,12.57,550,79
1546-HBTSF,14-11-2020,Refferal,14-11-2021,Standard,Monthly,04-05-2021,Too expensive,13.1,924,34
1547-RNNUQ,11-12-2019,Organic,11-12-2020,Premium,Annual,,,25.53,883,29
1548-LETWM,27-08-2024,Organic,27-08-2025,Standard,Monthly,16-02-2025,Not enough content,17.1,1102,54
1549-HSGJA,27-10-2023,Refferal,27-10-2024,Standard,Annual,,,11.65,456,57
1550-WRCCZ,28-10-2022,Paid,28-10-2023,Standard,Annual,,,16.16,1386,78
1551-APAYC,26-08-2021,Refferal,26-08-2022,Basic,Monthly,16-12-2021,Too expensive,9.27,629,57
1552-RTUUE,03-12-2019,Paid,03-12-2020,Standard,Monthly,15-07-2020,Too expensive,13.21,550,66
1553-JVXUZ,23-10-2022,Paid,23-10-2023,Basic,Monthly,,,8.36,411,83
1554-DJJDK,22-03-2023,Organic,22-03-2024,Premium,Monthly,,,23.5,786,92
1555-LVDHZ,23-05-2024,Paid,23-05-2025,Premium,Monthly,,,16.32,957,51
1556-FNBSH,08-10-2019,Paid,08-10-2020,Standard,Annual,,,13.94,830,28
1557-PBQML,09-12-2019,Paid,09-12-2020,Standard,Annual,,,15.84,728,63
1558-YZFLN,23-01-2023,Paid,23-01-2024,Premium,Annual,26-03-2023,Forgot to cancel trial,20.18,687,47
1559-AYTHC,10-02-2020,Refferal,10-02-2021,Standard,Annual,,,17.54,879,40
1560-FZRJU,01-09-2019,Organic,01-09-2020,Basic,Monthly,,,11.34,584,72
1561-YEQEF,17-03-2024,Organic,17-03-2025,Basic,Annual,16-01-2025,Switched to competitor,8.88,486,41
1562-GJENX,18-11-2019,Organic,18-11-2020,Basic,Monthly,,,8.7,772,22
1563-ABZMW,07-11-2023,Paid,07-11-2024,Basic,Monthly,22-10-2024,Poor streaming quality,6.97,540,57
1564-MMHMK,24-10-2021,Paid,24-10-2022,Premium,Monthly,,,20.42,848,78
1565-VSLNW,16-04-2024,Organic,16-04-2025,Basic,Annual,,,9.91,533,11
1566-YAFVV,09-11-2023,Paid,09-11-2024,Premium,Monthly,,,25.26,1031,41
1567-XTGSK,25-12-2019,Organic,25-12-2020,Standard,Annual,,,15.12,642,52
1568-MEHYG,18-02-2020,Paid,18-02-2021,Premium,Monthly,19-11-2020,Switched to competitor,22.07,905,79
1569-LJTLU,15-06-2020,Organic,15-06-2021,Basic,Annual,11-12-2020,Forgot to cancel trial,8.89,571,36
1570-BFNPD,12-06-2024,Paid,12-06-2025,Basic,Annual,13-07-2024,Forgot to cancel trial,12.17,328,41
1571-PWUAP,22-04-2024,Refferal,22-04-2025,Standard,Monthly,,,16.43,392,53
1572-LXFGT,14-08-2019,Organic,14-08-2020,Standard,Monthly,,,15.85,921,43
1573-YLLTL,23-04-2020,Refferal,23-04-2021,Basic,Monthly,,,8.72,720,54
1574-PUKRF,11-04-2020,Organic,11-04-2021,Standard,Monthly,,,13.03,519,67
1575-SKSGT,25-03-2024,Refferal,25-03-2025,Premium,Monthly,,,22.62,970,76
1576-SUCAW,20-06-2019,Refferal,20-06-2020,Premium,Annual,,,23.38,1290,41
1577-CPXDK,25-02-2022,Organic,25-02-2023,Basic,Annual,,,8.8,594,84
1578-ZJLPL,10-10-2020,Organic,10-10-2021,Standard,Annual,,,13.22,825,47
1579-RHVUJ,16-01-2023,Paid,16-01-2024,Basic,Monthly,,,9.75,334,15
1580-JGZRR,13-08-2020,Organic,13-08-2021,Standard,Annual,,,11.64,911,69
1581-ZLSDJ,01-02-2023,Organic,01-02-2024,Premium,Annual,10-09-2023,Switched to competitor,20.76,720,50
1582-UWAAV,05-12-2019,Organic,05-12-2020,Basic,Annual,19-02-2020,Switched to competitor,10.55,638,20
1583-FTKRE,01-09-2020,Organic,01-09-2021,Basic,Annual,,,10.14,661,53
1584-CUEWU,27-05-2022,Organic,27-05-2023,Basic,Monthly,,,10.19,784,2
1585-DBMXB,20-11-2024,Organic,20-11-2025,Standard,Monthly,,,12.55,750,13
1586-MMUHZ,15-07-2021,Organic,15-07-2022,Premium,Monthly,,,24.01,1109,58
1587-WUKWD,16-07-2019,Organic,16-07-2020,Basic,Monthly,17-01-2020,Forgot to cancel trial,11.54,864,80
1588-ZBZBH,21-05-2019,Paid,21-05-2020,Basic,Annual,,,9.62,191,46
1589-GTVWJ,16-11-2021,Paid,16-11-2022,Premium,Monthly,,,20.45,1117,45
1590-HRZFQ,11-10-2020,Paid,11-10-2021,Basic,Monthly,,,7.6,732,55
1591-LUUGD,16-06-2021,Paid,16-06-2022,Premium,Annual,,,21.09,913,95
1592-QCTTE,10-03-2020,Paid,10-03-2021,Basic,Annual,03-12-2020,Too expensive,8.42,302,27
1593-DLHYL,18-06-2019,Refferal,18-06-2020,Standard,Monthly,,,12.64,422,55
1594-HEQUR,05-03-2019,Paid,05-03-2020,Basic,Monthly,05-10-2019,Not enough content,6.47,448,20
1595-UMPNR,02-04-2020,Organic,02-04-2021,Standard,Monthly,,,10.68,547,73
1596-HKRKN,19-04-2020,Organic,19-04-2021,Standard,Monthly,,,10.78,491,48
1597-KDARQ,09-06-2020,Organic,09-06-2021,Standard,Annual,,,14.69,609,78
1598-UECKC,21-01-2022,Refferal,21-01-2023,Standard,Monthly,08-11-2022,Switched to competitor,14.24,767,52
1599-HZQDM,10-01-2021,Refferal,10-01-2022,Standard,Annual,16-08-2021,Too expensive,14.46,740,30
1600-TJGRH,01-03-2022,Organic,01-03-2023,Basic,Annual,,,6.24,528,66
1601-APBSF,02-10-2019,Refferal,02-10-2020,Standard,Annual,,,18.17,837,46
1602-GSZES,03-06-2021,Organic,03-06-2022,Standard,Monthly,09-01-2022,Forgot to cancel trial,10.66,348,14
1603-RKPJZ,09-10-2019,Organic,09-10-2020,Premium,Monthly,,,21.58,827,73
1604-DBNWR,17-02-2022,Paid,17-02-2023,Standard,Monthly,25-12-2022,Too expensive,15.96,920,47
1605-UMHWJ,21-11-2020,Refferal,21-11-2021,Standard,Annual,21-12-2020,Forgot to cancel trial,17.54,936,68
1606-XSHUH,27-03-2020,Organic,27-03-2021,Premium,Monthly,,,19.03,697,12
1607-KSHKF,11-08-2019,Organic,11-08-2020,Standard,Monthly,,,13.53,785,33
1608-LQXYS,24-04-2019,Organic,24-04-2020,Premium,Annual,,,21.16,715,48
1609-MHPSL,06-09-2019,Organic,06-09-2020,Standard,Annual,,,14.36,601,58
1610-WAQLS,08-03-2021,Refferal,08-03-2022,Basic,Annual,,,11.09,618,39
1611-XCDTY,02-08-2022,Organic,02-08-2023,Basic,Monthly,13-01-2023,Not enough content,9.55,751,55
1612-FYDAC,19-03-2024,Organic,19-03-2025,Standard,Monthly,25-06-2024,Poor streaming quality,14.62,589,41
1613-YWVEM,28-03-2024,Organic,28-03-2025,Standard,Annual,,,11.47,806,50
1614-FUWJF,24-11-2020,Paid,24-11-2021,Premium,Monthly,,,20.53,730,62
1615-QUXRU,18-02-2022,Organic,18-02-2023,Basic,Annual,,,6.78,506,44
1616-MVYHN,23-02-2021,Paid,23-02-2022,Standard,Monthly,,,11.73,409,88
1617-GGNHX,20-05-2021,Paid,20-05-2022,Standard,Annual,,,16.12,493,60
1618-HSJPH,27-11-2023,Paid,27-11-2024,Basic,Annual,,,11.9,784,17
1619-YMJGB,19-09-2022,Organic,19-09-2023,Premium,Monthly,25-05-2023,Poor streaming quality,23.19,1313,46
1620-KCEJV,22-12-2019,Paid,22-12-2020,Standard,Monthly,18-03-2020,Not enough content,13.44,942,65
1621-GFFQU,19-02-2020,Organic,19-02-2021,Standard,Annual,,,13.69,687,66
1622-FMDEF,04-04-2020,Organic,04-04-2021,Premium,Monthly,16-11-2020,Forgot to cancel trial,17.14,644,91
1623-NKLED,13-06-2021,Refferal,13-06-2022,Basic,Annual,,,10.26,528,67
1624-SPRBT,14-02-2022,Organic,14-02-2023,Basic,Monthly,,,7.09,469,24
1625-WRQVW,17-02-2021,Organic,17-02-2022,Premium,Monthly,,,20.31,1010,79
1626-FHNFC,26-01-2020,Organic,26-01-2021,Premium,Annual,,,24.06,817,41
1627-NUPJE,02-09-2023,Organic,02-09-2024,Standard,Monthly,,,10.29,703,37
1628-JUMLT,26-09-2022,Paid,26-09-2023,Standard,Annual,,,17.54,924,22
1629-RNUPW,20-02-2020,Organic,20-02-2021,Premium,Annual,,,20.93,708,60
1630-AMUFU,08-01-2020,Organic,08-01-2021,Premium,Monthly,,,21.92,871,51
1631-DZFDR,18-09-2021,Refferal,18-09-2022,Standard,Annual,,,15.19,610,48
1632-YDZDT,26-06-2022,Organic,26-06-2023,Standard,Monthly,,,13.75,770,53
1633-XULNR,03-04-2020,Organic,03-04-2021,Standard,Monthly,09-05-2020,Too expensive,13.42,681,92
1634-LVDPG,22-03-2022,Organic,22-03-2023,Standard,Monthly,,,13.34,687,72
1635-WYGPX,16-07-2019,Organic,16-07-2020,Basic,Annual,,,10.57,754,50
1636-FUXFX,06-04-2019,Paid,06-04-2020,Standard,Annual,,,14.97,738,14
1637-JJHMZ,11-10-2020,Organic,11-10-2021,Standard,Annual,14-11-2020,Too expensive,11.36,966,51
1638-CZVRZ,10-03-2019,Paid,10-03-2020,Basic,Monthly,,,12.9,821,67
1639-EEKZC,06-05-2023,Organic,06-05-2024,Standard,Annual,,,10.03,516,35
1640-RVLYV,04-10-2019,Organic,04-10-2020,Basic,Annual,,,6.62,370,38
1641-HFMKY,02-01-2019,Organic,02-01-2020,Premium,Annual,,,16.64,588,71
1642-UWLVT,11-08-2019,Organic,11-08-2020,Basic,Annual,,,8.52,507,89
1643-TLURT,28-11-2024,Paid,28-11-2025,Standard,Monthly,,,8.42,875,52
1644-QLYVL,26-11-2023,Organic,26-11-2024,Basic,Annual,,,12.3,900,13
1645-YWFGX,27-04-2019,Organic,27-04-2020,Standard,Monthly,,,12.97,1283,53
1646-VPLNY,18-07-2020,Paid,18-07-2021,Standard,Monthly,24-03-2021,Switched to competitor,10.68,650,64
1647-MCYTE,18-05-2021,Organic,18-05-2022,Standard,Annual,18-08-2021,Switched to competitor,16.38,1070,50
1648-NMQUJ,11-03-2020,Paid,11-03-2021,Basic,Annual,,,7.13,543,51
1649-AWVLV,13-08-2023,Refferal,13-08-2024,Basic,Monthly,17-12-2023,Switched to competitor,9.36,669,41
1650-DCNUQ,27-09-2021,Organic,27-09-2022,Standard,Monthly,,,13.93,778,81
1651-SVZGW,11-05-2019,Organic,11-05-2020,Basic,Monthly,,,5.99,335,79
1652-EFVFG,14-05-2019,Paid,14-05-2020,Basic,Monthly,31-07-2019,Forgot to cancel trial,6.55,646,39
1653-BVKCD,23-12-2020,Refferal,23-12-2021,Basic,Annual,,,5.99,623,99
1654-SXPTW,13-03-2021,Paid,13-03-2022,Premium,Monthly,21-02-2022,Switched to competitor,21.48,1129,63
1655-QACQT,02-12-2020,Organic,02-12-2021,Standard,Annual,27-02-2021,Forgot to cancel trial,15.14,628,62
1656-LDRCJ,07-06-2022,Paid,07-06-2023,Premium,Annual,,,21.19,1194,52
1657-GLDUW,25-07-2020,Paid,25-07-2021,Basic,Annual,,,7.56,599,71
1658-LSGMK,17-09-2020,Organic,17-09-2021,Standard,Monthly,24-02-2021,Switched to competitor,7.52,509,71
1659-VTAPX,17-08-2024,Organic,17-08-2025,Basic,Annual,,,7.95,754,33
1660-AECHU,20-08-2022,Organic,20-08-2023,Basic,Monthly,,,10.07,667,32
1661-JFYAB,18-11-2019,Paid,18-11-2020,Standard,Monthly,05-02-2020,Switched to competitor,11.85,456,27
1662-KZRXX,23-08-2019,Paid,23-08-2020,Basic,Monthly,,,9.89,816,74
1663-ZVXCN,04-12-2019,Paid,04-12-2020,Premium,Monthly,23-03-2020,Too expensive,22.59,1023,76
1664-EFDMR,05-07-2024,Organic,05-07-2025,Standard,Annual,,,14.94,737,66
1665-BKLSD,27-10-2020,Organic,27-10-2021,Premium,Monthly,06-12-2020,Too expensive,23.61,1005,78
1666-NYWCS,06-09-2019,Organic,06-09-2020,Standard,Monthly,,,16.34,636,55
1667-XFPJN,23-04-2020,Paid,23-04-2021,Standard,Monthly,26-02-2021,Switched to competitor,13.63,685,41
1668-DGWAU,16-04-2024,Paid,16-04-2025,Premium,Monthly,,,20.67,785,46
1669-TQTZH,19-11-2023,Paid,19-11-2024,Standard,Monthly,,,9.82,492,63
1670-GQBKA,11-11-2021,Organic,11-11-2022,Basic,Annual,22-06-2022,Forgot to cancel trial,6.19,584,57
1671-VNZJB,07-07-2019,Paid,07-07-2020,Basic,Annual,,,5.99,315,27
1672-UUYWN,24-09-2023,Organic,24-09-2024,Basic,Annual,,,5.99,387,61
1673-MYNKU,17-03-2024,Paid,17-03-2025,Standard,Annual,,,13.41,679,4
1674-LTJTN,06-07-2024,Paid,06-07-2025,Standard,Annual,,,11.26,533,52
1675-FSJSH,04-12-2020,Paid,04-12-2021,Standard,Monthly,24-05-2021,Not enough content,16.98,381,28
1676-GRZGE,13-02-2024,Paid,13-02-2025,Standard,Annual,15-01-2025,Poor streaming quality,14.39,966,92
1677-UPQEQ,03-12-2019,Paid,03-12-2020,Premium,Annual,,,21.45,1255,45
1678-KMNKP,18-02-2022,Refferal,18-02-2023,Basic,Annual,29-09-2022,Not enough content,5.99,566,52
1679-GGZCT,10-02-2019,Refferal,10-02-2020,Standard,Annual,,,16.32,897,99
1680-WQUKE,14-06-2021,Organic,14-06-2022,Basic,Monthly,,,6.87,235,49
1681-NYBJA,05-12-2019,Refferal,05-12-2020,Standard,Annual,,,12.46,720,38
1682-YUGJB,05-11-2023,Refferal,05-11-2024,Standard,Annual,,,14.33,1131,29
1683-HPVZU,20-06-2024,Paid,20-06-2025,Standard,Monthly,,,13.99,742,58
1684-BJPSV,19-12-2023,Paid,19-12-2024,Standard,Annual,,,14.33,520,69
1685-HPQQT,19-06-2020,Paid,19-06-2021,Basic,Monthly,,,6.54,277,46
1686-EEEEU,01-12-2023,Organic,01-12-2024,Premium,Monthly,31-07-2024,Switched to competitor,19.19,1115,51
1687-QHRXR,20-10-2024,Paid,20-10-2025,Standard,Monthly,,,14.57,849,63
1688-PDRCP,27-11-2019,Organic,27-11-2020,Standard,Monthly,,,13.69,721,64
1689-UGEGN,01-04-2022,Organic,01-04-2023,Basic,Annual,,,8.57,217,28
1690-BWUNB,09-11-2023,Organic,09-11-2024,Basic,Annual,,,7.69,595,74
1691-EREPL,15-08-2022,Organic,15-08-2023,Standard,Monthly,,,16.11,986,84
1692-UKDDA,17-07-2019,Refferal,17-07-2020,Standard,Monthly,04-04-2020,Too expensive,14.42,498,41
1693-AWXDC,18-08-2022,Organic,18-08-2023,Standard,Monthly,25-10-2022,Forgot to cancel trial,15.34,642,83
1694-DKNZC,04-09-2022,Paid,04-09-2023,Premium,Annual,,,20,1016,57
1695-BWRXX,26-08-2024,Organic,26-08-2025,Standard,Annual,,,10.81,631,2
1696-NXWES,18-10-2024,Paid,18-10-2025,Standard,Monthly,,,11.3,597,47
1697-KYFKU,21-04-2020,Organic,21-04-2021,Basic,Annual,,,6.99,647,75
1698-UNLCG,02-10-2022,Paid,02-10-2023,Standard,Monthly,16-09-2023,Forgot to cancel trial,14.65,553,73
1699-WYDYW,21-05-2023,Organic,21-05-2024,Basic,Annual,,,10.28,733,40
1700-RGLPL,18-04-2022,Organic,18-04-2023,Premium,Annual,,,18.63,880,18
1701-ZBRZM,07-10-2023,Paid,07-10-2024,Standard,Annual,,,14.82,669,30
1702-SXRWU,06-02-2024,Paid,06-02-2025,Basic,Monthly,,,10.47,870,25
1703-YKQEJ,18-04-2020,Refferal,18-04-2021,Premium,Annual,,,19.01,620,68
1704-SHNJZ,28-04-2023,Paid,28-04-2024,Standard,Monthly,,,15.32,547,46
1705-YCTJA,27-05-2024,Organic,27-05-2025,Basic,Monthly,,,8.08,767,26
1706-VBVXQ,13-04-2021,Organic,13-04-2022,Basic,Monthly,,,6.86,291,44
1707-TJXVM,26-11-2024,Paid,26-11-2025,Basic,Annual,25-06-2025,Too expensive,5.99,906,40
1708-YCQMB,05-03-2022,Refferal,05-03-2023,Premium,Monthly,,,22.72,877,61
1709-WQKUN,09-11-2024,Paid,09-11-2025,Standard,Monthly,,,14.04,634,71
1710-TQEDY,26-03-2019,Paid,26-03-2020,Basic,Annual,,,10.44,609,61
1711-RVZCH,14-11-2024,Organic,14-11-2025,Standard,Monthly,06-09-2025,Forgot to cancel trial,14.95,922,56
1712-QTDZS,28-06-2020,Organic,28-06-2021,Standard,Annual,,,15.29,522,39
1713-NVEPV,02-02-2023,Organic,02-02-2024,Standard,Monthly,16-07-2023,Poor streaming quality,14.21,358,91
1714-MADMN,18-06-2024,Organic,18-06-2025,Standard,Monthly,,,10.76,775,59
1715-QNUSL,22-08-2019,Paid,22-08-2020,Basic,Monthly,06-07-2020,Forgot to cancel trial,8.37,628,58
1716-YHEPP,18-09-2020,Organic,18-09-2021,Basic,Annual,,,11.27,646,5
1717-WNHYG,08-05-2022,Organic,08-05-2023,Premium,Monthly,,,20.76,1085,24
1718-QTELV,20-11-2020,Paid,20-11-2021,Standard,Monthly,28-08-2021,Not enough content,17.65,679,59
1719-YNDAS,09-01-2019,Paid,09-01-2020,Premium,Monthly,,,18.22,760,50
1720-WLSST,09-01-2020,Organic,09-01-2021,Premium,Monthly,27-11-2020,Forgot to cancel trial,20.29,900,91
1721-JWYWP,16-04-2021,Paid,16-04-2022,Basic,Annual,24-08-2021,Switched to competitor,5.99,583,50
1722-BSMQC,25-08-2022,Paid,25-08-2023,Standard,Monthly,,,16.5,409,95
1723-QADJT,07-06-2022,Organic,07-06-2023,Standard,Annual,,,12.21,738,19
1724-CUGCG,13-05-2023,Paid,13-05-2024,Basic,Annual,,,9.02,521,67
1725-TWBTR,04-08-2020,Refferal,04-08-2021,Basic,Monthly,,,7.29,377,53
1726-UDWGB,18-04-2022,Paid,18-04-2023,Standard,Monthly,30-06-2022,Poor streaming quality,18.59,850,22
1727-KDWNY,02-04-2019,Refferal,02-04-2020,Basic,Annual,,,12.44,638,42
1728-RJXHB,27-08-2021,Organic,27-08-2022,Basic,Annual,,,7.2,679,37
1729-UVNAA,02-09-2022,Paid,02-09-2023,Standard,Monthly,,,9.12,303,94
1730-CNKCB,26-04-2021,Organic,26-04-2022,Standard,Monthly,03-01-2022,Too expensive,13.4,747,46
1731-SLSQM,27-05-2022,Refferal,27-05-2023,Standard,Monthly,21-04-2023,Switched to competitor,10.47,986,66
1732-SMAZK,19-08-2019,Refferal,19-08-2020,Standard,Monthly,30-01-2020,Forgot to cancel trial,10.99,423,60
1733-PVPSS,20-05-2019,Paid,20-05-2020,Standard,Monthly,,,14.93,676,59
1734-XUNMF,13-07-2019,Paid,13-07-2020,Premium,Monthly,,,22.06,918,99
1735-FVULF,28-07-2020,Organic,28-07-2021,Premium,Annual,,,22.57,815,24
1736-NECBD,03-02-2020,Paid,03-02-2021,Premium,Annual,,,22.03,1108,91
1737-YNVWZ,24-09-2023,Organic,24-09-2024,Premium,Monthly,,,20.3,646,61
1738-MMCWW,09-10-2024,Organic,09-10-2025,Premium,Annual,,,22.32,654,74
1739-KYSWR,04-07-2023,Refferal,04-07-2024,Standard,Monthly,,,12.96,485,62
1740-XSPHK,13-07-2023,Refferal,13-07-2024,Standard,Annual,26-12-2023,Poor streaming quality,13.84,676,96
1741-DZJUV,18-07-2023,Organic,18-07-2024,Standard,Monthly,,,13.2,1022,41
1742-DZNQB,25-11-2021,Organic,25-11-2022,Premium,Annual,,,20.59,973,39
1743-FMKAE,06-01-2024,Paid,06-01-2025,Standard,Annual,,,17.11,355,37
1744-LRWSG,20-05-2024,Paid,20-05-2025,Standard,Annual,,,16.21,1151,35
1745-WMPCB,09-07-2024,Paid,09-07-2025,Standard,Annual,,,9.66,299,71
1746-KQLYK,24-03-2023,Refferal,24-03-2024,Standard,Monthly,,,15.6,828,56
1747-YXBCM,14-04-2021,Organic,14-04-2022,Premium,Annual,,,20.09,818,69
1748-KAARP,26-05-2024,Paid,26-05-2025,Premium,Annual,21-01-2025,Switched to competitor,22.28,571,99
1749-DVYHW,26-09-2020,Organic,26-09-2021,Standard,Monthly,,,17.55,537,58
1750-KDRUJ,22-12-2019,Organic,22-12-2020,Standard,Annual,22-04-2020,Poor streaming quality,11.06,774,43
1751-SMKUQ,18-05-2023,Refferal,18-05-2024,Premium,Annual,17-03-2024,Switched to competitor,20.71,417,88
1752-ZMMPE,14-12-2020,Paid,14-12-2021,Premium,Annual,,,20.96,772,28
1753-DEGTX,17-05-2021,Paid,17-05-2022,Basic,Monthly,,,9.94,50,43
1754-GVZGA,04-02-2020,Refferal,04-02-2021,Basic,Monthly,,,8.43,571,60
1755-UTMYT,07-01-2020,Organic,07-01-2021,Premium,Monthly,14-03-2020,Poor streaming quality,23.71,1030,37
1756-VGTEK,01-05-2020,Paid,01-05-2021,Basic,Annual,,,10.61,550,4
1757-WLNNB,27-01-2022,Refferal,27-01-2023,Standard,Annual,,,12.88,739,46
1758-LUCRR,13-12-2023,Organic,13-12-2024,Premium,Monthly,,,19.92,912,46
1759-XSBZH,28-02-2019,Paid,28-02-2020,Standard,Annual,,,11.6,684,26
1760-XVRQD,19-03-2022,Refferal,19-03-2023,Basic,Monthly,,,5.99,601,65
1761-FDBCE,17-01-2019,Refferal,17-01-2020,Premium,Annual,,,17.19,1122,38
1762-CPVEK,25-09-2023,Organic,25-09-2024,Basic,Monthly,,,5.99,627,39
1763-EHWQV,11-05-2021,Organic,11-05-2022,Premium,Annual,20-06-2021,Switched to competitor,22.71,830,48
1764-SLCAR,11-09-2022,Refferal,11-09-2023,Basic,Annual,,,11.12,901,81
1765-NAUUL,15-10-2022,Paid,15-10-2023,Premium,Monthly,,,21.18,799,46
1766-CNSRU,23-01-2022,Refferal,23-01-2023,Standard,Monthly,24-08-2022,Poor streaming quality,15.14,1165,65
1767-PVEAZ,04-06-2023,Paid,04-06-2024,Standard,Monthly,,,15.42,784,24
1768-QUCSW,16-10-2020,Organic,16-10-2021,Basic,Annual,,,5.99,593,33
1769-GTGDV,05-03-2023,Refferal,05-03-2024,Premium,Monthly,,,25.38,804,99
1770-BKYXK,11-10-2023,Organic,11-10-2024,Premium,Annual,15-07-2024,Forgot to cancel trial,20.59,1171,66
1771-NDGLC,21-09-2021,Organic,21-09-2022,Standard,Annual,,,13.28,929,89
1772-WXCVC,07-03-2023,Paid,07-03-2024,Basic,Monthly,,,9.09,698,68
1773-UPHHV,20-03-2021,Paid,20-03-2022,Basic,Annual,,,9.84,563,30
1774-VNDMV,22-09-2021,Organic,22-09-2022,Standard,Monthly,,,11.57,717,66
1775-UTLNX,02-07-2023,Paid,02-07-2024,Standard,Monthly,07-12-2023,Not enough content,15,943,97
1776-PZHFY,23-05-2022,Paid,23-05-2023,Basic,Monthly,,,9.46,476,27
1777-EEVQN,03-02-2020,Paid,03-02-2021,Premium,Monthly,05-01-2021,Switched to competitor,22.52,681,84
1778-SLKSE,22-02-2019,Organic,22-02-2020,Basic,Monthly,,,7.83,486,15
1779-BDLVY,11-10-2024,Refferal,11-10-2025,Basic,Monthly,,,9.95,768,63
1780-WMPYS,01-12-2021,Organic,01-12-2022,Basic,Annual,,,8.1,333,42
1781-BHQCF,11-10-2024,Organic,11-10-2025,Basic,Monthly,17-07-2025,Forgot to cancel trial,9.53,800,59
1782-BKLGU,12-12-2023,Organic,12-12-2024,Premium,Monthly,,,19.83,1246,12
1783-JADJA,18-08-2019,Paid,18-08-2020,Basic,Annual,,,6.94,648,25
1784-FFHCA,18-09-2024,Organic,18-09-2025,Premium,Monthly,16-12-2024,Switched to competitor,20.13,945,86
1785-VQAXJ,24-10-2020,Organic,24-10-2021,Standard,Monthly,26-03-2021,Poor streaming quality,15.49,1062,24
1786-VXDJN,03-02-2022,Organic,03-02-2023,Premium,Annual,,,21.56,653,45
1787-SERQR,19-06-2024,Organic,19-06-2025,Basic,Monthly,,,5.99,301,59
1788-PTXPM,16-04-2021,Paid,16-04-2022,Standard,Annual,,,11.01,846,15
1789-YNPXV,25-12-2020,Organic,25-12-2021,Standard,Monthly,23-06-2021,Forgot to cancel trial,12.61,441,91
1790-ZDYBC,19-06-2022,Organic,19-06-2023,Standard,Monthly,25-07-2022,Too expensive,10.23,687,30
1791-TMWDX,09-07-2019,Refferal,09-07-2020,Standard,Monthly,07-06-2020,Too expensive,13.65,916,43
1792-MKQQF,02-10-2022,Paid,02-10-2023,Premium,Monthly,,,22.09,971,90
1793-GWTVB,12-01-2023,Refferal,12-01-2024,Standard,Annual,,,13.2,808,17
1794-YXAFK,21-05-2021,Organic,21-05-2022,Basic,Annual,,,8.56,335,19
1795-TPJHQ,09-03-2021,Organic,09-03-2022,Basic,Monthly,,,8.75,527,48
1796-SGDSW,27-05-2024,Paid,27-05-2025,Standard,Annual,,,12.32,400,45
1797-VXTZG,27-04-2021,Organic,27-04-2022,Basic,Annual,,,9.95,226,65
1798-MAZGW,11-11-2024,Organic,11-11-2025,Premium,Monthly,,,18.95,736,27
1799-KYQNZ,18-01-2021,Organic,18-01-2022,Standard,Monthly,,,13.81,597,22
1800-NVEKD,05-05-2022,Paid,05-05-2023,Basic,Annual,04-09-2022,Poor streaming quality,5.99,424,49
1801-BSGPE,08-07-2023,Organic,08-07-2024,Standard,Monthly,,,12.4,724,60
1802-YDCJP,09-08-2023,Refferal,09-08-2024,Basic,Annual,,,7.39,677,80
1803-ZWYSS,13-07-2023,Organic,13-07-2024,Standard,Monthly,01-01-2024,Switched to competitor,11.13,829,75
1804-RRBAD,10-10-2019,Paid,10-10-2020,Basic,Monthly,,,5.99,706,71
1805-VSMDA,01-12-2020,Paid,01-12-2021,Standard,Monthly,,,11.52,927,37
1806-TZJXR,20-10-2023,Refferal,20-10-2024,Basic,Monthly,,,8.59,704,62
1807-FJDLC,16-10-2022,Paid,16-10-2023,Premium,Monthly,25-02-2023,Poor streaming quality,21.85,842,34
1808-XPPZS,15-06-2020,Organic,15-06-2021,Premium,Monthly,,,23.56,799,56
1809-DYYNR,12-12-2020,Refferal,12-12-2021,Standard,Monthly,,,10.62,879,67
1810-RXFXU,27-02-2021,Organic,27-02-2022,Basic,Monthly,,,7.85,581,75
1811-RHARF,16-12-2023,Organic,16-12-2024,Standard,Monthly,,,15.23,742,32
1812-GBERB,01-05-2022,Paid,01-05-2023,Standard,Annual,,,13.61,840,56
1813-LMVBV,24-03-2019,Organic,24-03-2020,Standard,Monthly,25-08-2019,Poor streaming quality,13.7,799,74
1814-MPLAY,21-08-2020,Organic,21-08-2021,Standard,Annual,12-07-2021,Forgot to cancel trial,10.46,873,88
1815-PJWYY,17-01-2020,Paid,17-01-2021,Standard,Annual,19-04-2020,Too expensive,11.15,392,66
1816-GGRVG,25-11-2023,Paid,25-11-2024,Standard,Monthly,,,14.57,880,65
1817-CVKJS,16-04-2024,Organic,16-04-2025,Basic,Annual,,,6.27,309,26
